Amostra,Codigo_Digital,Tensao_V
877,0x7FFF,-0.0003
878,0x7FFF,-0.0003
879,0x8000,0.0000
880,0x7FFF,-0.0003
881,0x7FFF,-0.0003
882,0x7FFF,-0.0003
883,0x7FFF,-0.0003
884,0x7FFF,-0.0003
885,0x8000,0.0000
886,0x7FFF,-0.0003
887,0x7FFF,-0.0003
888,0x7FFE,-0.0006
889,0x8000,0.0000
890,0x7FFE,-0.0006
891,0x7FFF,-0.0003
892,0x8000,0.0000
893,0x7FFF,-0.0003
894,0x7FFF,-0.0003
895,0x7FFE,-0.0006
896,0x7FFF,-0.0003
897,0x7FFF,-0.0003
898,0x7FFF,-0.0003
899,0x8000,0.0000
900,0x7FFF,-0.0003
901,0x7FFF,-0.0003
902,0x8000,0.0000
903,0x8000,0.0000
904,0x7FFF,-0.0003
905,0x8000,0.0000
906,0x7FFF,-0.0003
907,0x7FFE,-0.0006
908,0x7FFF,-0.0003
909,0x7FFE,-0.0006
910,0x8000,0.0000
911,0x7FFF,-0.0003
912,0x7FFF,-0.0003
913,0x7FFF,-0.0003
914,0x7FFF,-0.0003
915,0x8000,0.0000
916,0x8000,0.0000
917,0x7FFF,-0.0003
918,0x7FFF,-0.0003
919,0x7FFE,-0.0006
920,0x7FFE,-0.0006
921,0x7FFF,-0.0003
922,0x7FFF,-0.0003
923,0x7FFF,-0.0003
924,0x7FFF,-0.0003
925,0x7FFF,-0.0003
926,0x7FFF,-0.0003
927,0x7FFF,-0.0003
928,0x7FFF,-0.0003
929,0x7FFE,-0.0006
930,0x7FFF,-0.0003
931,0x7FFF,-0.0003
932,0x7FFF,-0.0003
933,0x8000,0.0000
934,0x8000,0.0000
935,0x7FFF,-0.0003
936,0x7FFF,-0.0003
937,0x7FFF,-0.0003
938,0x7FFF,-0.0003
939,0x7FFF,-0.0003
940,0x8000,0.0000
941,0x7FFF,-0.0003
942,0x7FFF,-0.0003
943,0x8000,0.0000
944,0x7FFF,-0.0003
945,0x7FFE,-0.0006
946,0x8000,0.0000
947,0x7FFF,-0.0003
948,0x7FFF,-0.0003
949,0x7FFF,-0.0003
950,0x7FFF,-0.0003
951,0x7FFF,-0.0003
952,0x7FFE,-0.0006
953,0x8000,0.0000
954,0x7FFF,-0.0003
955,0x7FFF,-0.0003
956,0x7FFF,-0.0003
957,0x7FFE,-0.0006
958,0x7FFF,-0.0003
959,0x7FFF,-0.0003
960,0x8000,0.0000
961,0x7FFF,-0.0003
962,0x7FFE,-0.0006
963,0x7FFF,-0.0003
964,0x7FFF,-0.0003
965,0x8000,0.0000
966,0x7FFE,-0.0006
967,0x7FFF,-0.0003
968,0x7FFF,-0.0003
969,0x7FFF,-0.0003
970,0x7FFF,-0.0003
971,0x7FFF,-0.0003
972,0x7FFE,-0.0006
973,0x7FFF,-0.0003
974,0x7FFE,-0.0006
975,0x8000,0.0000
976,0x7FFE,-0.0006
977,0x8000,0.0000
978,0x7FFF,-0.0003
979,0x7FFF,-0.0003
980,0x7FFF,-0.0003
981,0x7FFE,-0.0006
982,0x7FFF,-0.0003
983,0x8000,0.0000
984,0x7FFF,-0.0003
985,0x7FFF,-0.0003
986,0x7FFF,-0.0003
987,0x8000,0.0000
988,0x7FFE,-0.0006
989,0x8000,0.0000
990,0x7FFE,-0.0006
991,0x7FFF,-0.0003
992,0x7FFF,-0.0003
993,0x7FFF,-0.0003
994,0x8000,0.0000
995,0x7FFF,-0.0003
996,0x7FFF,-0.0003
997,0x7FFF,-0.0003
998,0x8000,0.0000
999,0x7FFF,-0.0003
1000,0x8000,0.0000
