Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
676,0xEDAC,8.7738,439.4851
677,0xF7A5,9.5716,479.4483
678,0xF18D,9.0841,455.0290
679,0xDD22,7.4506,373.2086
680,0xBA3F,4.6597,233.4080
681,0x8E1D,1.1291,56.5558
682,0x62B0,-2.3450,-117.4632
683,0x38CD,-5.6959,-285.3147
684,0x1A4E,-8.1356,-407.5208
685,0x09BC,-9.4613,-473.9226
686,0x09B2,-9.4644,-474.0791
687,0x1BE4,-8.0087,-401.1656
688,0x3774,-5.8038,-290.7151
689,0x62B0,-2.3450,-117.4632
690,0x9044,1.3012,65.1808
691,0xB84D,4.5041,225.6126
692,0xDD4E,7.4644,373.8973
693,0xF2B5,9.1766,459.6624
694,0xF7FA,9.5981,480.7788
695,0xEADF,8.5497,428.2616
696,0xD46F,6.7547,338.3484
697,0xAC20,3.5300,176.8209
698,0x7EA4,-0.1088,-5.4474
699,0x5635,-3.3434,-167.4758
700,0x2C87,-6.6778,-334.4977
701,0x1258,-8.7725,-439.4225
702,0x08AE,-9.5456,-478.1490
703,0x0E1D,-9.1109,-456.3751
704,0x226C,-7.4862,-374.9931
705,0x4547,-4.6978,-235.3177
706,0x7164,-1.1688,-58.5438
707,0x9D13,2.3259,116.5083
708,0xC6FE,5.6794,284.4851
709,0xE5AB,8.1334,407.4113
710,0xF678,9.4775,474.7366
711,0xF6C2,9.5006,475.8949
712,0xE479,8.0378,402.6213
713,0xC8E5,5.8316,292.1083
714,0x9D80,2.3600,118.2145
715,0x7023,-1.2691,-63.5685
716,0x47EC,-4.4862,-224.7203
717,0x22E0,-7.4500,-373.1773
718,0x0C70,-9.2450,-463.0905
719,0x081E,-9.5906,-480.4031
720,0x1475,-8.6034,-430.9540
721,0x2BA4,-6.7488,-338.0510
722,0x53BF,-3.5403,-177.3375
723,0x8142,0.1006,5.0404
724,0xA9BC,3.3387,167.2410
725,0xD340,6.6600,333.6054
726,0xED48,8.7425,437.9198
